date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:59:01	778/778	---M--	200	added ('OK')	image/png	etag:%225b258572-762%22	https://colorlib.com/preview/theme/bulkapp/img/icon/f-icon-1.png	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/icon/f-icon-1.png	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:01	151389/151389	---M--	200	added ('OK')	image/png	etag:%225b258507-28947%22	https://colorlib.com/preview/theme/bulkapp/img/interior-1.png	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/interior-1.png	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:02	147129/147129	---M--	200	added ('OK')	image/png	etag:%225b258509-2471d%22	https://colorlib.com/preview/theme/bulkapp/img/interior-2.png	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/interior-2.png	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:02	438852/438852	---M--	200	added ('OK')	image/png	etag:%225b25850c-6ff67%22	https://colorlib.com/preview/theme/bulkapp/img/video-1.png	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/video-1.png	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:02	1881/1881	---M--	200	added ('OK')	image/png	etag:%225b258572-e38%22	https://colorlib.com/preview/theme/bulkapp/img/icon/video-icon-1.png	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/icon/video-icon-1.png	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:03	24723/24723	---M--	200	added ('OK')	image/jpeg	etag:%225b25856c-12534%22	https://colorlib.com/preview/theme/bulkapp/img/feature/feature-1.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/feature/feature-1.jpg	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:03	17328/17328	---M--	200	added ('OK')	image/jpeg	etag:%225b25856c-c1a5%22	https://colorlib.com/preview/theme/bulkapp/img/feature/feature-2.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/feature/feature-2.jpg	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:03	19582/19582	---M--	200	added ('OK')	image/jpeg	etag:%225b25856d-d755%22	https://colorlib.com/preview/theme/bulkapp/img/feature/feature-3.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/feature/feature-3.jpg	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:03	17310/17310	---M--	200	added ('OK')	image/jpeg	etag:%225b25856d-c704%22	https://colorlib.com/preview/theme/bulkapp/img/feature/feature-4.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/feature/feature-4.jpg	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:04	13613/13613	---M--	200	added ('OK')	image/png	etag:%225b258580-421f%22	https://colorlib.com/preview/theme/bulkapp/img/testimonials/testi-1.png	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/testimonials/testi-1.png	(from https://colorlib.com/preview/theme/bulkapp/)
